"Defense_Subtype","AMR_Type","Cooccurrence_Count","Alpha_MLE","P_value","Cooccurrence_Type"
"CBASS type I","aadA2",93,1.29587994508173,0,"Positive"
"CBASS type I","floR",87,1.3836169470316,0,"Positive"
"CBASS type I","aac(3)-IId",143,2.34112848799698,0,"Positive"
"CBASS type I","qepA",15,3.47807024158544,0,"Positive"
"CBASS type I","mph(A)",221,2.26703962557142,0,"Positive"
"CBASS type I","dfrA17",173,3.19579626481526,0,"Positive"
"CBASS type I","aadA5",173,3.22264069165756,0,"Positive"
"CBASS type I","aph(3')-IIa",21,2.13270546174795,0,"Positive"
"CBASS type I","aadA1",83,1.29151978892374,0,"Positive"
"CBASS type I","dfrA14",57,1.76369494952129,0,"Positive"
"CBASS type I","dfrA12",85,1.60046130098584,0,"Positive"
"CBASS type I","tet(B)",104,2.57062643596534,0,"Positive"
"CBASS type I","catB3",61,1.2369477086783,0,"Positive"
"CBASS type I","aac(6')-Ib-cr",74,1.28616321928627,0,"Positive"
"CBASS type I","aac(3)-IVa",53,2.14263782106404,0,"Positive"
"CBASS type I","aph(4)-Ia",53,2.13974864988744,0,"Positive"
"CBASS type I","aph(3')-Ia",70,1.20056758197373,0,"Positive"
"AbiD","vanR-A",21,2.28921167398826,0,"Positive"
"AbiD","vanS-A",21,2.34952160651493,0,"Positive"
"AbiD","vanH-A",21,2.33861393868523,0,"Positive"
"AbiD","vanA",21,2.33861393868523,0,"Positive"
"AbiD","vanX-A",21,2.33861393868523,0,"Positive"
"AbiD","vanY-A",21,2.42936074477214,0,"Positive"
"AbiD","vanZ-A",21,2.81492419046516,0,"Positive"
"PfiAT","mcr-10",12,4.41237660265352,0,"Positive"
"MazEF","blaNDM",138,1.15991527496284,0,"Positive"
"MazEF","ble",118,1.07801202334335,0,"Positive"
"MazEF","sul1",860,1.76790529575547,0,"Positive"
"MazEF","aph(6)-Id",490,1.22163551120165,0,"Positive"
"MazEF","aph(3'')-Ib",493,1.25650165618551,0,"Positive"
"MazEF","sul2",508,1.22742194612291,0,"Positive"
"MazEF","blaKPC",306,1.75272051973552,0,"Positive"
"MazEF","tet(A)",659,1.75980144911046,0,"Positive"
"MazEF","blaTEM",1012,1.93085579271503,0,"Positive"
"MazEF","blaCTX-M",887,2.29496112906652,0,"Positive"
"MazEF","erm(B)",200,1.51521229499493,0,"Positive"
"MazEF","fosA",192,2.83785784373122,0,"Positive"
"MazEF","catA2",91,1.36657101639658,0,"Positive"
"MazEF","rmtB",279,3.49810439146086,0,"Positive"
"MazEF","blaOXA",535,1.6871405195035,0,"Positive"
"MazEF","aadA2",262,1.10343909437999,0,"Positive"
"MazEF","floR",192,0.895602384183377,0,"Negative"
"MazEF","aac(3)-IId",283,1.79887347178362,0,"Positive"
"MazEF","qepA",21,2.74943823512717,0,"Positive"
"MazEF","mph(A)",727,2.5089346313445,0,"Positive"
"MazEF","dfrA17",489,4.03994312110619,0,"Positive"
"MazEF","aadA5",445,3.72541124845168,0,"Positive"
"MazEF","oqxA",44,1.41382337812017,0,"Positive"
"MazEF","oqxB",44,1.33758928597517,0,"Positive"
"MazEF","aph(2'')-Ia",38,2.6540289205612,0,"Positive"
"MazEF","blaSHV",196,1.80586224649165,0,"Positive"
"MazEF","aadA1",214,0.989654114820602,0,"Negative"
"MazEF","dfrA14",157,1.63533426895648,0,"Positive"
"MazEF","cmlA1",71,0.802082881686407,0,"Negative"
"MazEF","aac(3)-IIe",110,1.2926141107821,0,"Positive"
"MazEF","dfrA12",249,1.51199974883383,0,"Positive"
"MazEF","catA1",87,1.13316279012594,0,"Positive"
"MazEF","tet(B)",219,2.21704731187904,0,"Positive"
"MazEF","catB3",254,1.56500635665643,0,"Positive"
"MazEF","aac(6')-Ib-cr",266,1.42055206599456,0,"Positive"
"MazEF","aac(3)-IVa",85,1.34930503794329,0,"Positive"
"MazEF","aph(4)-Ia",83,1.31537871818197,0,"Positive"
"MazEF","aph(3')-Ia",224,1.16652000045253,0,"Positive"
"MazEF","dfrA1",56,1.55219573912156,0,"Positive"
"MazEF","aph(3')-VIb",22,3.34292443871741,0,"Positive"
"MazEF","aph(2'')-I",22,2.69613648614628,0,"Positive"
"RloC","sul1",76,1.30728493027617,0,"Positive"
"RloC","msr(E)",21,1.89020841057118,0,"Positive"
